2021.6.22 19:04:51:393   leftController:(-0.33, 1.22, 0.40)  rightController:(-0.06, 1.20, 0.38)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.21, 1.66, 0.11)  leftControllerVel:(0.09, 0.08, -0.05)  rightControllerVel:(0.03, -0.13, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.6.22 19:04:51:414   leftController:(-0.33, 1.23, 0.40)  rightController:(-0.06, 1.20, 0.38)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.21, 1.66, 0.11)  leftControllerVel:(0.09, 0.05, -0.05)  rightControllerVel:(0.03, -0.14, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.6.22 19:04:51:430   leftController:(-0.33, 1.23, 0.40)  rightController:(-0.06, 1.20, 0.38)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.21, 1.66, 0.11)  leftControllerVel:(0.09, 0.03, -0.05)  rightControllerVel:(0.03, -0.14, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.6.22 19:04:51:456   leftController:(-0.33, 1.23, 0.40)  rightController:(-0.06, 1.20, 0.38)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.21, 1.66, 0.11)  leftControllerVel:(0.09, -0.01, -0.05)  rightControllerVel:(0.02, -0.15, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.6.22 19:04:51:475   leftController:(-0.32, 1.23, 0.40)  rightController:(-0.06, 1.19, 0.38)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.21, 1.66, 0.11)  leftControllerVel:(0.08, -0.03, -0.05)  rightControllerVel:(0.02, -0.15, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.6.22 19:04:51:501   leftController:(-0.32, 1.22, 0.40)  rightController:(-0.06, 1.19, 0.38)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.21, 1.66, 0.11)  leftControllerVel:(0.06, -0.04, -0.06)  rightControllerVel:(0.01, -0.13, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.6.22 19:04:51:522   leftController:(-0.32, 1.22, 0.40)  rightController:(-0.06, 1.19, 0.38)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.21, 1.66, 0.11)  leftControllerVel:(0.04, -0.04, -0.07)  rightControllerVel:(-0.01, -0.10, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.6.22 19:04:51:543   leftController:(-0.32, 1.22, 0.40)  rightController:(-0.06, 1.19, 0.38)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.21, 1.66, 0.11)  leftControllerVel:(0.02, -0.05, -0.06)  rightControllerVel:(-0.02, -0.07, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.6.22 19:04:51:565   leftController:(-0.32, 1.22, 0.40)  rightController:(-0.06, 1.18, 0.38)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.21, 1.66, 0.12)  leftControllerVel:(0.00, -0.06, -0.06)  rightControllerVel:(-0.02, -0.04, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.6.22 19:04:51:591   leftController:(-0.32, 1.22, 0.39)  rightController:(-0.06, 1.18, 0.38)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.22, 1.66, 0.12)  leftControllerVel:(-0.03, -0.06, -0.05)  rightControllerVel:(-0.03, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.6.22 19:04:51:615   leftController:(-0.32, 1.22, 0.39)  rightController:(-0.06, 1.18, 0.38)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.22, 1.66, 0.12)  leftControllerVel:(-0.06, -0.09, -0.03)  rightControllerVel:(-0.04, 0.03, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.6.22 19:04:51:632   leftController:(-0.33, 1.22, 0.39)  rightController:(-0.06, 1.19, 0.38)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.22, 1.66, 0.12)  leftControllerVel:(-0.07, -0.11, -0.02)  rightControllerVel:(-0.05, 0.04, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.6.22 19:04:51:657   leftController:(-0.33, 1.21, 0.39)  rightController:(-0.07, 1.19, 0.38)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.22, 1.65, 0.12)  leftControllerVel:(-0.08, -0.12, 0.00)  rightControllerVel:(-0.07, 0.08, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.6.22 19:04:51:676   leftController:(-0.33, 1.21, 0.39)  rightController:(-0.07, 1.19, 0.38)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.22, 1.65, 0.12)  leftControllerVel:(-0.07, -0.14, 0.01)  rightControllerVel:(-0.09, 0.11, 0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.6.22 19:04:51:697   leftController:(-0.33, 1.21, 0.39)  rightController:(-0.07, 1.19, 0.38)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.22, 1.65, 0.12)  leftControllerVel:(-0.06, -0.14, 0.02)  rightControllerVel:(-0.11, 0.14, 0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
