2021.7.2 17:57:27:476   leftController:(-0.26, 1.39, 0.09)  rightController:(-0.12, 1.45, 0.09)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.17, 1.61, -0.19)  leftControllerVel:(0.36, -0.56, 0.28)  rightControllerVel:(0.07, -0.34, -0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.7.2 17:57:27:498   leftController:(-0.26, 1.38, 0.10)  rightController:(-0.11, 1.44, 0.08)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.17, 1.61, -0.19)  leftControllerVel:(0.29, -0.58, 0.27)  rightControllerVel:(0.09, -0.48, -0.10)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.7.2 17:57:27:521   leftController:(-0.25, 1.37, 0.10)  rightController:(-0.11, 1.43, 0.08)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.17, 1.60, -0.19)  leftControllerVel:(0.26, -0.54, 0.20)  rightControllerVel:(0.03, -0.50, -0.09)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.7.2 17:57:27:543   leftController:(-0.25, 1.36, 0.11)  rightController:(-0.11, 1.42, 0.08)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.17, 1.61, -0.19)  leftControllerVel:(0.31, -0.45, 0.18)  rightControllerVel:(-0.06, -0.39, -0.07)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.7.2 17:57:27:565   leftController:(-0.24, 1.35, 0.11)  rightController:(-0.12, 1.42, 0.08)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.17, 1.61, -0.19)  leftControllerVel:(0.34, -0.37, 0.16)  rightControllerVel:(-0.13, -0.24, -0.05)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.7.2 17:57:27:588   leftController:(-0.23, 1.34, 0.12)  rightController:(-0.12, 1.41, 0.08)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.17, 1.61, -0.19)  leftControllerVel:(0.35, -0.39, 0.14)  rightControllerVel:(-0.15, -0.15, -0.05)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.7.2 17:57:27:610   leftController:(-0.22, 1.33, 0.12)  rightController:(-0.12, 1.41, 0.07)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.18, 1.62, -0.19)  leftControllerVel:(0.39, -0.40, 0.11)  rightControllerVel:(-0.17, -0.09, -0.08)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.7.2 17:57:27:632   leftController:(-0.21, 1.32, 0.12)  rightController:(-0.13, 1.41, 0.07)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.18, 1.62, -0.19)  leftControllerVel:(0.36, -0.32, 0.07)  rightControllerVel:(-0.18, -0.08, -0.10)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.7.2 17:57:27:655   leftController:(-0.21, 1.32, 0.12)  rightController:(-0.13, 1.41, 0.07)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.18, 1.63, -0.19)  leftControllerVel:(0.32, -0.15, -0.04)  rightControllerVel:(-0.17, -0.10, -0.08)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.7.2 17:57:27:677   leftController:(-0.20, 1.32, 0.12)  rightController:(-0.13, 1.41, 0.07)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.18, 1.63, -0.19)  leftControllerVel:(0.31, -0.08, -0.07)  rightControllerVel:(-0.11, -0.09, -0.06)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
