2021.7.2 17:59:36:833   leftController:(0.23, 1.22, 0.08)  rightController:(-0.10, 1.21, 0.05)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.04, 1.67, -0.16)  leftControllerVel:(-0.01, -0.47, -0.08)  rightControllerVel:(0.46, -0.05, 0.36)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.7.2 17:59:36:844   leftController:(0.23, 1.21, 0.08)  rightController:(-0.10, 1.21, 0.06)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.04, 1.66, -0.16)  leftControllerVel:(0.03, -0.47, -0.06)  rightControllerVel:(0.40, -0.08, 0.37)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.7.2 17:59:36:855   leftController:(0.23, 1.21, 0.08)  rightController:(-0.09, 1.21, 0.06)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.05, 1.66, -0.15)  leftControllerVel:(0.08, -0.49, -0.04)  rightControllerVel:(0.35, -0.12, 0.37)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.7.2 17:59:36:866   leftController:(0.24, 1.20, 0.08)  rightController:(-0.09, 1.21, 0.07)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.05, 1.67, -0.15)  leftControllerVel:(0.11, -0.49, -0.03)  rightControllerVel:(0.30, -0.13, 0.36)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.7.2 17:59:36:878   leftController:(0.24, 1.20, 0.08)  rightController:(-0.09, 1.21, 0.07)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.06, 1.67, -0.15)  leftControllerVel:(0.19, -0.51, 0.00)  rightControllerVel:(0.20, -0.12, 0.32)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.7.2 17:59:36:889   leftController:(0.24, 1.19, 0.08)  rightController:(-0.08, 1.21, 0.07)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.06, 1.67, -0.15)  leftControllerVel:(0.22, -0.51, 0.02)  rightControllerVel:(0.17, -0.10, 0.28)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.7.2 17:59:36:900   leftController:(0.24, 1.19, 0.08)  rightController:(-0.08, 1.21, 0.07)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.07, 1.67, -0.15)  leftControllerVel:(0.26, -0.52, 0.03)  rightControllerVel:(0.12, -0.04, 0.22)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.7.2 17:59:36:912   leftController:(0.25, 1.18, 0.08)  rightController:(-0.08, 1.21, 0.08)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.07, 1.67, -0.15)  leftControllerVel:(0.29, -0.49, 0.03)  rightControllerVel:(0.07, 0.05, 0.14)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.7.2 17:59:36:922   leftController:(0.25, 1.18, 0.08)  rightController:(-0.08, 1.21, 0.08)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.07, 1.67, -0.14)  leftControllerVel:(0.30, -0.42, -0.01)  rightControllerVel:(0.05, 0.11, 0.09)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.7.2 17:59:36:933   leftController:(0.25, 1.17, 0.08)  rightController:(-0.08, 1.21, 0.08)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.08, 1.67, -0.14)  leftControllerVel:(0.29, -0.34, -0.04)  rightControllerVel:(0.02, 0.17, 0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
