2021.10.23 14:53:43:890   leftController:(0.05, 1.13, 0.24)  rightController:(0.00, 0.00, 0.00)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.27, 1.05, 0.21)  headset:(-0.10, 1.61, 0.02)  leftControllerVel:(-0.44, 0.09, 0.14)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.01, 0.02, 0.01)
2021.10.23 14:53:43:901   leftController:(0.04, 1.13, 0.24)  rightController:(0.00, 0.00, 0.00)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.27, 1.05, 0.21)  headset:(-0.10, 1.60, 0.02)  leftControllerVel:(-0.45, 0.06, 0.14)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.01, 0.03, 0.01)
2021.10.23 14:53:43:912   leftController:(0.04, 1.13, 0.24)  rightController:(0.00, 0.00, 0.00)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.27, 1.05, 0.21)  headset:(-0.10, 1.60, 0.02)  leftControllerVel:(-0.44, 0.03, 0.14)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.01, 0.03, 0.01)
2021.10.23 14:53:43:923   leftController:(0.03, 1.13, 0.24)  rightController:(0.00, 0.00, 0.00)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.27, 1.05, 0.21)  headset:(-0.10, 1.60, 0.02)  leftControllerVel:(-0.42, 0.00, 0.13)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.01, 0.03, 0.01)
2021.10.23 14:53:43:934   leftController:(0.03, 1.13, 0.25)  rightController:(0.00, 0.00, 0.00)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.27, 1.05, 0.21)  headset:(-0.10, 1.60, 0.02)  leftControllerVel:(-0.38, -0.03, 0.12)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.01, 0.03, 0.01)
2021.10.23 14:53:43:946   leftController:(0.02, 1.13, 0.25)  rightController:(0.00, 0.00, 0.00)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.27, 1.05, 0.21)  headset:(-0.10, 1.60, 0.02)  leftControllerVel:(-0.33, -0.06, 0.12)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.03, 0.01)
2021.10.23 14:53:43:957   leftController:(0.02, 1.12, 0.25)  rightController:(0.00, 0.00, 0.00)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.27, 1.05, 0.21)  headset:(-0.10, 1.60, 0.02)  leftControllerVel:(-0.28, -0.09, 0.11)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.03, 0.01)
2021.10.23 14:53:43:968   leftController:(0.02, 1.12, 0.25)  rightController:(0.00, 0.00, 0.00)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.27, 1.05, 0.21)  headset:(-0.10, 1.60, 0.02)  leftControllerVel:(-0.23, -0.12, 0.11)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.03, 0.01)
2021.10.23 14:53:43:979   leftController:(0.02, 1.12, 0.25)  rightController:(0.00, 0.00, 0.00)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.27, 1.05, 0.21)  headset:(-0.10, 1.60, 0.02)  leftControllerVel:(-0.17, -0.15, 0.11)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.03, 0.01)
2021.10.23 14:53:43:991   leftController:(0.02, 1.12, 0.25)  rightController:(0.00, 0.00, 0.00)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.27, 1.05, 0.21)  headset:(-0.10, 1.60, 0.03)  leftControllerVel:(-0.13, -0.17, 0.11)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.01, 0.04, 0.01)
2021.10.23 14:53:44:02   leftController:(0.01, 1.12, 0.25)  rightController:(0.00, 0.00, 0.00)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.27, 1.05, 0.21)  headset:(-0.10, 1.60, 0.03)  leftControllerVel:(-0.09, -0.19, 0.10)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.01, 0.04, 0.01)
