2021.6.22 19:07:17:533   leftController:(-0.41, 1.08, 0.37)  rightController:(-0.08, 1.14, 0.30)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.23, 1.66, 0.06)  leftControllerVel:(-0.19, -0.68, -0.10)  rightControllerVel:(-0.38, 0.13, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.6.22 19:07:17:543   leftController:(-0.41, 1.08, 0.37)  rightController:(-0.08, 1.14, 0.30)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.23, 1.66, 0.06)  leftControllerVel:(-0.18, -0.55, -0.14)  rightControllerVel:(-0.35, 0.15, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.6.22 19:07:17:554   leftController:(-0.42, 1.07, 0.37)  rightController:(-0.08, 1.14, 0.30)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.23, 1.66, 0.06)  leftControllerVel:(-0.15, -0.42, -0.19)  rightControllerVel:(-0.32, 0.16, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.6.22 19:07:17:565   leftController:(-0.42, 1.07, 0.36)  rightController:(-0.09, 1.15, 0.30)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.23, 1.66, 0.06)  leftControllerVel:(-0.11, -0.28, -0.21)  rightControllerVel:(-0.29, 0.17, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.6.22 19:07:17:576   leftController:(-0.42, 1.07, 0.36)  rightController:(-0.09, 1.15, 0.31)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.24, 1.65, 0.06)  leftControllerVel:(-0.07, -0.17, -0.23)  rightControllerVel:(-0.27, 0.17, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.6.22 19:07:17:587   leftController:(-0.42, 1.07, 0.36)  rightController:(-0.09, 1.15, 0.31)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.24, 1.65, 0.06)  leftControllerVel:(-0.04, -0.11, -0.25)  rightControllerVel:(-0.23, 0.17, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.6.22 19:07:17:602   leftController:(-0.42, 1.07, 0.35)  rightController:(-0.09, 1.15, 0.31)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.24, 1.65, 0.06)  leftControllerVel:(0.01, -0.01, -0.25)  rightControllerVel:(-0.19, 0.16, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.6.22 19:07:17:614   leftController:(-0.42, 1.07, 0.35)  rightController:(-0.10, 1.15, 0.31)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.24, 1.65, 0.06)  leftControllerVel:(0.04, 0.04, -0.25)  rightControllerVel:(-0.13, 0.14, 0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.6.22 19:07:17:624   leftController:(-0.42, 1.07, 0.35)  rightController:(-0.10, 1.15, 0.31)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.24, 1.65, 0.06)  leftControllerVel:(0.06, 0.07, -0.24)  rightControllerVel:(-0.11, 0.13, 0.04)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.6.22 19:07:17:633   leftController:(-0.41, 1.07, 0.35)  rightController:(-0.10, 1.16, 0.31)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.24, 1.64, 0.07)  leftControllerVel:(0.07, 0.11, -0.23)  rightControllerVel:(-0.08, 0.12, 0.04)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.6.22 19:07:17:644   leftController:(-0.41, 1.07, 0.34)  rightController:(-0.10, 1.16, 0.31)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.24, 1.64, 0.07)  leftControllerVel:(0.09, 0.14, -0.22)  rightControllerVel:(-0.03, 0.10, 0.06)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.6.22 19:07:17:655   leftController:(-0.41, 1.07, 0.34)  rightController:(-0.10, 1.16, 0.31)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.25, 1.64, 0.07)  leftControllerVel:(0.09, 0.16, -0.21)  rightControllerVel:(0.01, 0.08, 0.07)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.6.22 19:07:17:666   leftController:(-0.41, 1.08, 0.34)  rightController:(-0.10, 1.16, 0.31)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.25, 1.64, 0.07)  leftControllerVel:(0.09, 0.17, -0.19)  rightControllerVel:(0.05, 0.06, 0.08)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.6.22 19:07:17:677   leftController:(-0.41, 1.08, 0.34)  rightController:(-0.10, 1.16, 0.31)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.25, 1.64, 0.07)  leftControllerVel:(0.09, 0.19, -0.17)  rightControllerVel:(0.10, 0.04, 0.10)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.6.22 19:07:17:688   leftController:(-0.41, 1.08, 0.34)  rightController:(-0.09, 1.16, 0.31)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.25, 1.64, 0.07)  leftControllerVel:(0.09, 0.20, -0.16)  rightControllerVel:(0.13, 0.03, 0.11)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.6.22 19:07:17:699   leftController:(-0.41, 1.08, 0.33)  rightController:(-0.09, 1.16, 0.31)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.25, 1.63, 0.07)  leftControllerVel:(0.09, 0.20, -0.15)  rightControllerVel:(0.17, 0.01, 0.12)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
