2021.6.22 19:07:49:940   leftController:(-0.32, 1.11, 0.30)  rightController:(-0.07, 1.16, 0.31)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.21, 1.64, 0.05)  leftControllerVel:(0.09, -0.44, 0.13)  rightControllerVel:(0.08, -0.32, 0.11)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.6.22 19:07:49:960   leftController:(-0.32, 1.11, 0.30)  rightController:(-0.07, 1.15, 0.31)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.21, 1.63, 0.06)  leftControllerVel:(0.06, -0.34, 0.15)  rightControllerVel:(0.12, -0.17, 0.12)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.6.22 19:07:49:982   leftController:(-0.32, 1.10, 0.30)  rightController:(-0.06, 1.16, 0.32)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.21, 1.63, 0.07)  leftControllerVel:(0.00, -0.08, 0.18)  rightControllerVel:(0.21, 0.11, 0.12)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.6.22 19:07:50:03   leftController:(-0.32, 1.11, 0.31)  rightController:(-0.06, 1.16, 0.32)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.20, 1.63, 0.08)  leftControllerVel:(-0.05, 0.22, 0.23)  rightControllerVel:(0.27, 0.38, 0.12)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.6.22 19:07:50:28   leftController:(-0.32, 1.12, 0.32)  rightController:(-0.05, 1.18, 0.32)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.20, 1.62, 0.09)  leftControllerVel:(-0.13, 0.68, 0.30)  rightControllerVel:(0.30, 0.72, 0.10)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.6.22 19:07:50:51   leftController:(-0.33, 1.14, 0.32)  rightController:(-0.04, 1.20, 0.32)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.20, 1.62, 0.09)  leftControllerVel:(-0.21, 0.99, 0.31)  rightControllerVel:(0.29, 1.01, 0.05)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.6.22 19:07:50:71   leftController:(-0.33, 1.17, 0.33)  rightController:(-0.04, 1.23, 0.32)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.20, 1.62, 0.10)  leftControllerVel:(-0.32, 1.28, 0.29)  rightControllerVel:(0.28, 1.19, -0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.6.22 19:07:50:94   leftController:(-0.34, 1.21, 0.33)  rightController:(-0.03, 1.26, 0.32)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.20, 1.61, 0.10)  leftControllerVel:(-0.52, 1.63, 0.15)  rightControllerVel:(0.27, 1.32, -0.14)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.6.22 19:07:50:116   leftController:(-0.36, 1.25, 0.33)  rightController:(-0.03, 1.29, 0.31)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.20, 1.61, 0.11)  leftControllerVel:(-0.71, 1.85, -0.14)  rightControllerVel:(0.25, 1.34, -0.24)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.6.22 19:07:50:140   leftController:(-0.38, 1.29, 0.32)  rightController:(-0.02, 1.32, 0.30)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.19, 1.61, 0.11)  leftControllerVel:(-0.72, 1.77, -0.43)  rightControllerVel:(0.16, 1.20, -0.34)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.6.22 19:07:50:161   leftController:(-0.39, 1.32, 0.30)  rightController:(-0.02, 1.34, 0.30)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.19, 1.61, 0.11)  leftControllerVel:(-0.66, 1.61, -0.57)  rightControllerVel:(0.10, 1.05, -0.35)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
