2021.5.16 20:03:22:902   leftController:(-0.08, 0.98, 0.15)  rightController:(0.18, 1.01, 0.20)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.10, 1.53, -0.05)  leftControllerVel:(-0.02, 0.07, 0.13)  rightControllerVel:(0.11, -0.11, 0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.5.16 20:03:22:917   leftController:(-0.08, 0.98, 0.15)  rightController:(0.18, 1.01, 0.20)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.10, 1.53, -0.05)  leftControllerVel:(0.00, 0.10, 0.14)  rightControllerVel:(0.10, -0.11, 0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.5.16 20:03:22:926   leftController:(-0.08, 0.98, 0.15)  rightController:(0.19, 1.01, 0.20)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.10, 1.53, -0.05)  leftControllerVel:(0.00, 0.11, 0.14)  rightControllerVel:(0.10, -0.10, 0.04)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.5.16 20:03:22:936   leftController:(-0.08, 0.99, 0.16)  rightController:(0.19, 1.01, 0.20)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.10, 1.53, -0.05)  leftControllerVel:(0.00, 0.12, 0.14)  rightControllerVel:(0.09, -0.10, 0.04)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.5.16 20:03:22:947   leftController:(-0.08, 0.99, 0.16)  rightController:(0.19, 1.01, 0.20)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.10, 1.53, -0.05)  leftControllerVel:(0.00, 0.13, 0.14)  rightControllerVel:(0.09, -0.10, 0.05)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.5.16 20:03:22:960   leftController:(-0.08, 0.99, 0.16)  rightController:(0.19, 1.01, 0.20)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.10, 1.53, -0.05)  leftControllerVel:(0.00, 0.13, 0.13)  rightControllerVel:(0.09, -0.10, 0.05)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.5.16 20:03:22:971   leftController:(-0.08, 0.99, 0.16)  rightController:(0.19, 1.01, 0.20)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.10, 1.53, -0.05)  leftControllerVel:(0.00, 0.12, 0.13)  rightControllerVel:(0.08, -0.10, 0.06)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.5.16 20:03:22:981   leftController:(-0.08, 0.99, 0.16)  rightController:(0.19, 1.01, 0.20)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.10, 1.53, -0.04)  leftControllerVel:(0.00, 0.12, 0.13)  rightControllerVel:(0.07, -0.09, 0.06)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.5.16 20:03:22:994   leftController:(-0.08, 0.99, 0.16)  rightController:(0.19, 1.00, 0.20)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.10, 1.53, -0.04)  leftControllerVel:(0.01, 0.11, 0.12)  rightControllerVel:(0.06, -0.09, 0.07)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.5.16 20:03:23:04   leftController:(-0.08, 0.99, 0.16)  rightController:(0.19, 1.00, 0.20)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.10, 1.53, -0.04)  leftControllerVel:(0.00, 0.11, 0.12)  rightControllerVel:(0.05, -0.09, 0.07)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
