2021.5.16 20:00:38:193   leftController:(-0.66, 1.10, 1.83)  rightController:(-0.37, 1.13, 1.89)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.48, 1.58, 1.60)  leftControllerVel:(0.13, 0.12, 0.22)  rightControllerVel:(-0.03, -0.09, 0.10)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.5.16 20:00:38:203   leftController:(-0.65, 1.10, 1.84)  rightController:(-0.37, 1.13, 1.89)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.48, 1.58, 1.60)  leftControllerVel:(0.13, 0.11, 0.22)  rightControllerVel:(-0.03, -0.09, 0.10)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.5.16 20:00:38:215   leftController:(-0.65, 1.10, 1.84)  rightController:(-0.38, 1.13, 1.89)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.48, 1.58, 1.60)  leftControllerVel:(0.13, 0.10, 0.21)  rightControllerVel:(-0.02, -0.09, 0.09)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.5.16 20:00:38:226   leftController:(-0.65, 1.10, 1.84)  rightController:(-0.38, 1.13, 1.89)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.48, 1.58, 1.60)  leftControllerVel:(0.13, 0.10, 0.19)  rightControllerVel:(-0.01, -0.08, 0.08)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.5.16 20:00:38:237   leftController:(-0.65, 1.10, 1.84)  rightController:(-0.38, 1.13, 1.89)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.48, 1.58, 1.60)  leftControllerVel:(0.12, 0.10, 0.19)  rightControllerVel:(0.00, -0.07, 0.07)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.5.16 20:00:38:248   leftController:(-0.65, 1.11, 1.84)  rightController:(-0.37, 1.13, 1.89)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.48, 1.58, 1.60)  leftControllerVel:(0.12, 0.11, 0.17)  rightControllerVel:(0.04, -0.05, 0.06)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.5.16 20:00:38:260   leftController:(-0.65, 1.11, 1.85)  rightController:(-0.37, 1.13, 1.89)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.48, 1.58, 1.60)  leftControllerVel:(0.11, 0.11, 0.16)  rightControllerVel:(0.05, -0.04, 0.05)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.5.16 20:00:38:271   leftController:(-0.65, 1.11, 1.85)  rightController:(-0.37, 1.13, 1.89)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.48, 1.58, 1.60)  leftControllerVel:(0.10, 0.11, 0.15)  rightControllerVel:(0.06, -0.04, 0.04)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.5.16 20:00:38:282   leftController:(-0.65, 1.11, 1.85)  rightController:(-0.37, 1.13, 1.89)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.48, 1.58, 1.60)  leftControllerVel:(0.08, 0.12, 0.15)  rightControllerVel:(0.07, -0.04, 0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.5.16 20:00:38:293   leftController:(-0.65, 1.11, 1.85)  rightController:(-0.37, 1.13, 1.89)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.48, 1.58, 1.60)  leftControllerVel:(0.08, 0.11, 0.14)  rightControllerVel:(0.08, -0.05, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
